month,meat,milk,alcohol
1993-01-01 00:00:00,74.9 ,107.9 ,64.7 
1993-02-01 00:00:00,84.6 ,103.7 ,88.0 
1993-03-01 00:00:00,98.6 ,119.7 ,115.1 
1993-04-01 00:00:00,114.0 ,119.6 ,125.6 
1993-05-01 00:00:00,103.3 ,121.4 ,106.8 
1993-06-01 00:00:00,110.9 ,119.8 ,125.9 
1993-07-01 00:00:00,122.4 ,118.4 ,119.9 
1993-08-01 00:00:00,109.2 ,113.4 ,94.1 
1993-09-01 00:00:00,106.7 ,109.1 ,107.0 
1993-10-01 00:00:00,104.2 ,109.0 ,117.1 
1993-11-01 00:00:00,119.9 ,104.4 ,126.9 
1993-12-01 00:00:00,142.0 ,109.3 ,167.1 
1994-01-01 00:00:00,76.6 ,107.3 ,67.5 
1994-02-01 00:00:00,85.3 ,102.4 ,98.3 
1994-03-01 00:00:00,99.2 ,113.7 ,137.7 
1994-04-01 00:00:00,113.0 ,116.2 ,134.5 
1994-05-01 00:00:00,104.8 ,120.0 ,89.9 
1994-06-01 00:00:00,111.0 ,119.4 ,121.7 
1994-07-01 00:00:00,119.7 ,116.9 ,124.7 
1994-08-01 00:00:00,111.5 ,114.6 ,104.0 
1994-09-01 00:00:00,108.6 ,110.3 ,112.0 
1994-10-01 00:00:00,106.6 ,112.5 ,116.8 
1994-11-01 00:00:00,117.3 ,106.4 ,130.5 
1994-12-01 00:00:00,140.2 ,108.4 ,158.6 
1995-01-01 00:00:00,79.3 ,107.5 ,66.7 
1995-02-01 00:00:00,85.6 ,100.9 ,91.0 
1995-03-01 00:00:00,100.4 ,116.2 ,122.1 
1995-04-01 00:00:00,114.0 ,115.8 ,127.0 
1995-05-01 00:00:00,104.9 ,119.9 ,104.2 
1995-06-01 00:00:00,114.1 ,113.6 ,126.8 
1995-07-01 00:00:00,120.5 ,112.1 ,112.9 
1995-08-01 00:00:00,112.8 ,109.8 ,105.3 
1995-09-01 00:00:00,111.1 ,107.3 ,108.2 
1995-10-01 00:00:00,106.4 ,113.9 ,116.3 
1995-11-01 00:00:00,117.9 ,106.3 ,130.6 
1995-12-01 00:00:00,136.9 ,109.8 ,164.2 
1996-01-01 00:00:00,77.9 ,109.3 ,70.3 
1996-02-01 00:00:00,89.2 ,105.1 ,99.1 
1996-03-01 00:00:00,100.3 ,114.5 ,114.1 
1996-04-01 00:00:00,113.5 ,118.0 ,123.5 
