image_id,num,time
100,11,0.5
101,14,1.0
102,8,1.0
103,2,1.0
104,14,1.0
105,19,0.75
106,18,0.5
107,2,0.25
108,3,0.25
109,6,0.25
110,12,0.75
111,2,0.5
112,20,1.0
113,8,0.75
114,17,0.75
115,7,0.5
116,2,0.75
117,10,0.5
118,18,0.25
119,8,1.0
120,4,0.5
121,8,0.5
122,13,0.25
123,9,0.5
124,2,0.75
125,7,0.25
126,4,1.0
127,8,0.75
128,11,0.25
129,8,0.5
130,5,0.25
131,12,0.25
132,18,0.5
133,9,0.75
134,3,0.25
135,5,1.0
136,9,0.25
137,4,0.75
138,13,0.5
139,17,0.75
140,19,0.5
141,8,0.5
142,12,0.5
143,4,0.75
144,15,0.75
145,19,0.75
146,2,0.25
147,11,0.75
148,4,0.75
149,13,0.25
150,19,1.0
151,7,0.75
152,15,1.0
153,19,0.25
154,19,0.25
155,16,1.0
156,12,1.0
157,10,0.25
158,17,0.75
159,9,0.25
160,16,0.75
161,17,0.5
162,6,0.25
163,19,0.25
164,6,0.75
165,8,0.5
166,8,1.0
167,11,0.75
168,8,0.25
169,18,0.5
170,18,0.25
171,10,0.5
172,6,0.25
173,12,0.25
174,18,0.25
175,19,1.0
176,10,0.5
177,11,0.75
178,4,1.0
179,8,0.25
180,9,0.75
181,3,0.25
182,4,0.5
183,12,0.5
184,20,0.75
185,11,1.0
186,15,1.0
187,18,0.5
188,2,1.0
189,10,1.0
190,16,0.25
191,4,0.75
192,10,0.75
193,13,0.5
194,14,0.25
195,14,0.5
196,10,0.25
197,15,0.25
198,19,0.75
199,10,0.25
