image_id,shigemi,amakasu,osumi
0,5,5,5
1,12,12,8
2,11,12,9
3,10,10,8
4,11,12,11
5,14,12,12
6,9,8,8
7,8,8,7
8,3,3,3
9,12,10,12
10,13,15,13
11,9,10,9
12,12,13,11
13,6,6,7
14,5,5,5
15,5,5,5
16,2,2,2
17,7,8,7
18,5,5,5
19,2,2,2
20,9,9,10
21,10,11,10
22,9,10,10
23,10,12,11
24,3,3,3
25,6,6,6
26,2,2,2
27,13,12,12
28,11,10,12
29,11,10,10
30,2,2,2
31,12,11,10
32,10,11,9
33,4,4,4
34,12,15,13
35,4,4,4
36,11,10,11
37,11,15,10
38,2,2,2
39,11,12,10
40,12,10,12
41,2,2,2
42,3,3,3
43,10,10,10
44,12,12,10
45,13,12,11
46,2,2,2
47,4,4,4
48,9,10,9
49,5,5,5
