image_id,num,pred_amakasu
099,5,5
098,8,8
097,3,2
096,2,2
095,6,6
094,4,4
093,20,15
092,15,14
091,16,14
090,9,8
089,10,10
088,3,3
087,19,10
086,5,4
085,6,6
084,15,10
083,10,10
082,8,9
081,9,10
080,10,12
079,9,7
078,2,3
077,5,5
076,19,15
075,18,15
074,14,13
073,5,5
072,8,8
071,10,9
070,19,17
069,20,20
068,13,19
067,3,3
066,13,13
065,17,15
064,19,20
063,11,11
062,12,13
061,12,11
060,4,4
059,10,10
058,17,15
057,13,14
056,19,17
055,9,8
054,20,16
053,12,10
052,6,6
051,4,4
050,13,17
049,11,10
048,12,11
047,2,2
046,16,16
045,5,5
044,9,7
043,4,4
042,15,16
041,20,17
040,19,17
039,8,8
038,8,8
037,4,4
036,11,11
035,20,114
034,15,12
033,8,8
032,10,12
031,4,4
030,18,14
029,14,13
028,3,3
027,2,2
026,2,2
025,12,8
024,4,4
023,20,14
022,13,13
021,18,13
020,17,13
019,11,13
018,13,12
017,2,2
016,3,3
015,17,14
014,9,9
013,11,10
012,11,10
011,2,2
010,16,13
009,5,5
008,7,7
007,2,2
006,5,5
005,5,5
004,6,6
003,15,14
002,3,3
001,13,15
000,13,11
