image_id,num,pred_amakasu
199,10,7
198,19,11
197,15,11
196,10,10
195,14,10
194,14,11
193,13,11
192,10,10
191,4,4
190,16,11
189,10,9
188,2,2
187,18,11
186,15,11
185,11,10
184,20,13
183,12,10
182,4,4
181,3,3
180,9,9
179,8,7
178,4,4
177,11,10
176,10,9
175,19,14
174,18,18
173,12,10
172,6,5
171,10,8
170,18,10
169,18,11
168,8,8
167,11,10
166,8,8
165,8,8
164,6,6
163,19,15
162,6,6
161,17,14
160,16,13
159,9,9
158,17,14
157,10,8
156,12,12
155,16,12
154,19,14
153,19,15
152,15,13
151,7,7
150,19,17
149,13,10
148,4,4
147,11,10
146,2,2
145,19,14
144,15,12
143,4,4
142,12,10
141,8,9
140,19,15
139,17,13
138,13,10
137,4,4
136,9,8
135,5,5
134,3,3
133,9,9
132,18,12
131,12,10
130,5,6
129,8,8
128,11,10
127,8,8
126,4,4
125,7,8
124,2,2
123,9,9
122,13,10
121,8,9
120,4,4
119,8,8
118,18,13
117,10,10
116,2,2
115,7,7
114,17,14
113,8,8
112,20,13
111,2,2
110,12,10
109,6,6
108,3,3
107,2,2
106,18,14
105,19,13
104,14,13
103,2,2
102,8,8
101,14,11
100,11,9
