image_id,num,pred_sato
000,13,15
001,13,14
002,3,3
003,15,17
004,6,6
005,5,5
006,5,5
007,2,2
008,7,7
009,5,5
010,16,13
011,2,2
012,11,10
013,11,12
014,9,10
015,17,12
016,3,3
017,2,2
018,13,11
019,11,10
020,17,15
021,18,19
022,13,10
023,20,20
024,4,4
025,12,11
026,2,2
027,2,2
028,3,3
029,14,11
030,18,14
031,4,4
032,10,9
033,8,8
034,15,11
035,20,14
036,11,10
037,4,4
038,8,7
039,8,9
040,19,18
041,20,16
042,15,16
043,4,5
044,9,8
045,5,5
046,16,13
047,2,2
048,12,11
049,11,10
050,13,10
051,4,4
052,6,7
053,12,9
054,20,13
055,9,9
056,19,12
057,13,10
058,17,13
059,10,12
060,4,4
061,12,12
062,12,12
063,11,10
064,19,13
065,17,14
066,13,12
067,3,3
068,13,13
069,20,16
070,19,17
071,10,12
072,8,7
073,5,5
074,14,13
075,18,17
076,19,14
077,5,5
078,2,2
079,9,7
080,10,9
081,9,10
082,8,8
083,10,9
084,15,12
085,6,6
086,5,5
087,19,11
088,3,3
089,10,10
090,9,9
091,16,13
092,15,13
093,20,12
094,4,4
095,6,6
096,2,2
097,3,3
098,8,8
099,5,5
