image_id,num,pred_sato
100,11,11
101,14,13
102,8,8
103,2,2
104,14,11
105,19,14
106,18,15
107,2,2
108,3,3
109,6,6
110,12,10
111,2,2
112,20,14
113,8,11
114,17,15
115,7,7
116,2,2
117,10,10
118,18,13
119,8,8
120,4,4
121,8,8
122,13,11
123,9,10
124,2,2
125,7,6
126,4,4
127,8,8
128,11,9
129,8,8
130,5,5
131,12,10
132,18,11
133,9,8
134,3,3
135,5,5
136,9,7
137,4,4
138,13,8
139,17,12
140,19,13
141,8,4
142,12,11
143,4,4
144,15,13
145,19,14
146,2,2
147,11,10
148,4,4
149,13,12
150,19,13
151,7,7
152,15,12
153,19,13
154,19,12
155,16,11
156,12,12
157,10,8
158,17,14
159,9,9
160,16,10
161,17,12
162,6,6
163,19,14
164,6,6
165,8,8
166,8,7
167,11,11
168,8,9
169,18,11
170,18,13
171,10,10
172,6,6
173,12,11
174,18,12
175,19,13
176,10,8
177,11,11
178,4,4
179,8,6
180,9,9
181,3,3
182,4,4
183,12,9
184,20,11
185,11,10
186,15,12
187,18,12
188,2,2
189,10,10
190,16,11
191,4,4
192,10,10
193,13,11
194,14,13
195,14,13
196,10,10
197,15,14
198,19,15
199,10,13
