image_id,num,pred_shigemi
000,13,15
001,13,13
002,3,3
003,15,3
004,6,6
005,5,5
006,5,5
007,2,2
008,7,6
009,5,5
010,16,15
011,2,2
012,11,10
013,11,11
014,9,9
015,17,15
016,3,3
017,2,2
018,13,11
019,11,10
020,17,14
021,18,14
022,13,11
023,20,16
024,4,4
025,12,12
026,2,2
027,2,2
028,3,3
029,14,13
030,18,14
031,4,4
032,10,9
033,8,8
034,15,15
035,20,15
036,11,13
037,4,4
038,8,9
039,8,8
040,19,16
041,20,14
042,15,12
043,4,4
044,9,8
045,5,5
046,16,12
047,2,2
048,12,14
049,11,13
050,13,14
051,4,4
052,6,6
053,12,15
054,20,17
055,9,9
056,19,17
057,13,11
058,17,16
059,10,11
060,4,4
061,12,13
062,12,11
063,11,11
064,19,15
065,17,13
066,13,14
067,3,3
068,13,12
069,20,13
070,19,15
071,10,11
072,8,8
073,5,5
074,14,11
075,18,14
076,19,16
077,5,5
078,2,2
079,9,8
080,10,11
081,9,9
082,8,8
083,10,10
084,15,12
085,6,6
086,5,5
087,19,14
088,3,3
089,10,9
090,9,9
091,16,15
092,15,11
093,20,16
094,4,4
095,6,6
096,2,2
097,3,3
098,8,8
099,5,5
