image_id,num,pred_shigemi
199,10,7
198,19,13
197,15,12
196,10,8
195,14,13
194,14,11
193,13,12
192,10,8
191,4,4
190,16,10
189,10,10
188,2,2
187,18,17
186,15,13
185,11,12
184,20,14
183,12,11
182,4,4
181,3,3
180,9,9
179,8,7
178,4,4
177,11,11
176,10,10
175,19,14
174,18,13
173,12,11
172,6,6
171,10,8
170,18,11
169,18,13
168,8,8
167,11,10
166,8,8
165,8,8
164,6,6
163,19,11
162,6,6
161,17,12
160,16,15
159,9,8
158,17,13
157,10,9
156,12,11
155,16,14
154,19,14
153,19,14
152,15,16
151,7,7
150,19,13
149,13,9
148,4,4
147,11,9
146,2,2
145,19,14
144,15,14
143,4,4
142,12,11
141,8,8
140,19,15
139,17,14
138,13,11
137,4,4
136,9,9
135,5,5
134,3,3
133,9,9
132,18,13
131,12,11
130,5,5
129,8,8
128,11,10
127,8,8
126,4,4
125,7,6
124,2,2
123,9,8
122,13,11
121,8,8
120,4,4
119,8,8
118,18,10
117,10,11
116,2,2
115,7,7
114,17,13
113,8,8
112,20,16
111,2,2
110,12,10
109,6,6
108,3,3
107,2,2
106,18,16
105,19,15
104,14,12
103,2,2
102,8,7
101,14,13
100,11,10
