image_id,num,pred_yuki
350,29,10
351,25,13
352,98,20
353,412,100
354,375,100
355,489,200
356,120,40
357,483,100
358,440,100
359,498,110
360,379,120
361,385,120
362,440,90
363,395,80
364,178,20
365,78,20
366,406,3
367,480,030
368,229,30
369,341,40
370,261,40
371,173,40
372,391,50
373,148,20
374,452,20
375,197,22
376,238,20
377,257,30
378,306,40
379,414,40
380,362,50
381,483,550
382,269,20
383,437,30
384,440,40
385,191,20
386,160,30
387,32,15
388,97,20
389,355,40
390,154,30
391,445,60
392,340,60
393,83,20
394,86,20
395,408,40
396,296,40
397,467,60
398,394,70
399,291,70
400,382,70
401,367,60
402,393,70
403,239,70
404,230,40
405,77,20
406,215,40
407,480,60
408,102,40
409,400,50
410,160,30
411,431,30
412,500,50
413,378,80
414,70,20
415,188,50
416,77,20
417,394,40
418,437,60
419,265,70
420,278,70
421,130,20
422,476,100
423,129,20
424,367,40
425,161,30
426,238,40
427,207,40
428,455,60
429,270,20
430,181,40
431,247,40
432,128,50
433,231,50
434,114,20
435,120,30
436,154,40
437,441,40
438,143,30
439,155,30
440,144,30
441,173,50
442,378,80
443,174,30
444,132,30
445,33,10
446,92,20
447,483,50
448,66,10
449,356,70
450,71,40
451,100,20
452,94,20
453,329,60
454,221,50
455,395,70
456,396,70
457,404,50
458,53,20
459,86,20
460,225,40
461,285,40
462,109,30
463,417,70
464,467,40
465,453,90
466,314,40
467,308,40
468,183,40
469,79,20
470,80,20
471,437,50
472,475,6
473,104,20
474,143,30
475,495,70
476,110,30
477,361,60
478,346,60
479,90,20
480,209,40
481,414,80
482,482,80
483,156,40
484,49,20
485,109,40
486,279,60
487,228,50
488,46,20
489,253,30
490,222,40
491,451,70
492,90,20
493,62,20
494,433,50
495,450,70
496,206,70
497,262,80
498,201,20
499,479,70
